Industry_Name,Number_of_firms,Price_Sales,Net_Margin,EV_Sales,Pre_tax_Operating_Margin
Advertising,89,1.1779906254744983,0.06025122344317233,1.5281738541891723,0.09848914032227385
Aerospace/Defense,61,1.739311676935193,0.06273842631447926,1.8360610577344292,0.07669838151403266
Air Transport,34,0.7634444077862094,0.08754646778244156,1.2880383018086672,0.11097730862852188
Apparel,110,3.2173617263147296,0.12641649705984617,3.531400615771374,0.23175198332220928
Auto & Truck,31,0.4812528592752499,0.08673410742980095,0.8109388362121612,0.11271522846769574
Auto Parts,59,0.44310151865920916,0.02474631962098507,0.6369263942165869,0.05189650470121301
Bank (Money Center),112,1.9341862152307454,0.3319977837234251,8.15656944187655,-5.056316395092797e-06
Banks (Regional),72,3.633957381069098,0.34446975105334837,9.832308858711716,3.0512761544994507e-05
Beverage (Alcoholic),55,2.0360232315219835,0.10646132271808403,2.883079707898841,0.19036405719094823
Beverage (Soft),15,1.3831535785157463,0.08282867760460257,1.7909215574060788,0.12166375753621235
Broadcasting,22,0.7599834246863154,-0.011424953044549596,0.9843647748799709,0.09192029656391705
Brokerage & Investment Banking,74,1.2087749474049765,0.09085828696745574,1.5477822902816423,0.01180942112335554
Building Materials,89,1.5901145593885604,0.0745328371048067,1.8427965220585538,0.11624119889972079
Business & Consumer Services,194,1.2098795183234923,0.04357509470533141,1.4657358339605262,0.08029570551100448
Cable TV,3,0.9209405278984296,0.056548613431339795,2.4180635044072654,0.20340492357561335
Chemical (Basic),61,1.3626849802518028,0.04910010057801261,1.7734874978760984,0.05914224270500436
Chemical (Diversified),7,0.5552837179591574,-0.004171509695711762,0.7943656992595675,0.06225303010161359
Chemical (Specialty),102,2.168159120272569,0.0673964724276476,2.4739085836915047,0.09938208208859937
Coal & Related Energy,16,1.0980458179888073,0.002576787959910058,0.9154884770362389,0.01762637558358185
Computer Services,226,1.5850328380828187,0.05329599519453381,1.6473556906252955,0.09137629658660201
Computers/Peripherals,43,2.5967277844089427,-0.026002187224342166,2.9089278387813953,0.04320584311452959
Construction Supplies,123,0.8164378572700957,0.06620773902833056,1.1171434894555288,0.09737653032743517
Diversified,70,1.37051030875296,0.1437550466685597,1.7667383990565944,0.15840991793795448
Drugs (Biotechnology),233,6.4388084677547806,-0.28497090673637343,6.85490008157227,-0.2332835185346201
Drugs (Pharmaceutical),131,3.761114444189632,0.135500658137618,4.214010379760656,0.24245839828610402
Education,21,1.4443357074448762,0.05788520601930847,1.7720443621435642,0.10552975660443295
Electrical Equipment,157,1.9949597713807699,0.03576330959790411,2.190335775487336,0.07037937146674346
Electronics (Consumer & Office),21,2.420148184496837,0.08768675720928593,2.5843697558930354,0.13338971368086708
Electronics (General),151,2.5581855375865965,0.09181701762194126,2.7826805075524614,0.12828772768951613
Engineering/Construction,162,0.5598810216057217,0.036382857213961936,0.7803565514656429,0.056114080954033634
Entertainment,200,2.004986853715944,0.04665322857092651,2.194740852299376,0.026898439634233138
Environmental & Waste Services,52,0.9344770708974877,0.01766026088854279,1.2774804041944894,0.05229947164872493
Farming/Agriculture,50,0.6658310427791553,0.06948616484377314,1.170877465911917,0.10300344777202859
Financial Svcs. (Non-bank & Insurance),143,2.624988374922676,0.41877467318565303,9.58805911433927,0.07337869355525399
Food Processing,169,1.5823883407087078,0.06206442532577378,1.9298613138431864,0.10830978463723473
Food Wholesalers,14,0.07146692892841862,-0.010477311877194128,0.1767299212738542,0.025327871050628496
Furn/Home Furnishings,52,0.5555417767589022,0.017162197657355566,0.8034951642740706,0.05150339392280694
Green & Renewable Energy,66,2.312847074883142,0.0808116139903689,3.7232125779032916,0.1626760104539973
Healthcare Products,182,2.9547963717727943,0.06897679395151049,3.448759130120812,0.11631745404440506
Healthcare Support Services,45,0.5978895646827687,0.017172540196888793,0.9671384629466784,0.06426940525233006
Heathcare Information and Technology,95,3.6000169149338883,0.07636974845203907,3.965903215900428,0.1259337655651799
Homebuilding,43,0.9879282191906832,0.08774361929155211,1.0241312160275906,0.13274415390411742
Hospitals/Healthcare Facilities,29,0.5256765784068105,-0.14277396882403973,1.794032936099076,0.03638449323635679
Hotel/Gaming,106,2.0192681982631284,0.0517817406587673,2.5265681999026475,0.12331443137024663
Household Products,70,2.9435839774994115,0.11821784900142876,3.2881377514449412,0.16840349033872104
Information Services,6,0.6507277495341396,0.026266725400193078,0.9544751329484443,0.07502165266780018
Insurance (General),36,0.8414566903441749,0.07174273989731324,0.9750162409255974,0.12243490248446091
Insurance (Life),16,1.2145067810992602,0.059366254436683245,2.6788440973136023,0.29357762857288955
Insurance (Prop/Cas.),19,1.9766272601526502,0.11857877819904267,2.247617224442607,0.16613192474657007
Investments & Asset Management,350,2.9628229432987,0.19232511111629907,2.9296192693948715,0.1636291426547436
Machinery,219,1.8884204838549499,0.08135006681362021,2.013174111473728,0.11274187962192977
Metals & Mining,120,0.7429884163954088,0.05891921206984372,0.8827595227325898,0.11093331258616673
Office Equipment & Services,22,0.8731518346205186,0.05907505668506056,0.97858233402438,0.09546634451267219
Oil/Gas (Integrated),12,0.5789382937999201,0.09082728099342934,0.7145356240984369,0.18056363825856142
Oil/Gas (Production and Exploration),91,1.1319080240197994,0.017012808043813214,1.6597508893517074,0.4598719450723545
Oil/Gas Distribution,29,1.6559486489696367,0.25786934101536496,2.434478661090689,0.26753777410821417
Oilfield Svcs/Equip.,67,0.45686887734545856,0.05993646376063267,0.5368408778071521,0.09103280431005355
Packaging & Container,44,0.9362626878471721,0.06167862945961661,1.3015770813240954,0.09904770430093714
Paper/Forest Products,38,1.3641011554422664,0.08850908152002222,1.6070037455686486,0.10615091137579148
Power,73,0.823207550240539,0.10004242886696377,1.258718528846688,0.17296145781590902
Precious Metals,46,1.8652001747909044,0.004933065625260462,1.988774685191038,0.13372884612033048
Publishing & Newspapers,72,0.8170547897243138,0.07322957066946127,1.2106055529283006,0.06408557501636077
R.E.I.T.,142,6.767913354472085,-0.48897090084085243,11.923597941683552,0.5435411274808186
Real Estate (Development),66,1.0409726533818315,0.02174851683384157,1.6321114056924442,0.06660165554661149
Real Estate (General/Diversified),48,2.952146364216941,0.02441870774829323,7.68392854265016,0.18865787255148364
Real Estate (Operations & Services),237,4.238453975462614,-0.4544674120797071,9.01927279724599,0.33100015740835814
Recreation,60,1.7084961287805418,0.06932267593806893,2.064575465200598,0.11756743105084563
Reinsurance,4,0.6873740050976093,0.05305568883916278,0.7483112605022888,0.09136406208677077
Restaurant/Dining,43,0.8743811695007186,-0.024140648190473506,1.115736914960127,0.028804845107076007
Retail (Automotive),28,0.26861357106431283,0.009187072197139348,0.368778155073744,0.02441777922391087
